date,ticker,open,high,low,close
2016-10-21,INDIA VIX,14.16,14.35,12.43,13.83
2016-10-24,INDIA VIX,13.83,14.44,13.1,14.33
2016-10-25,INDIA VIX,14.33,14.81,12.84,14.48
2016-10-26,INDIA VIX,14.48,14.93,13.6,14.45
2016-10-27,INDIA VIX,14.45,14.82,12.74,14.08
2016-10-28,INDIA VIX,14.08,14.88,13.48,14.65
2016-10-30,INDIA VIX,14.65,15.61,14.46,15.49
2016-11-01,INDIA VIX,15.49,15.88,14.31,15.73
2016-11-02,INDIA VIX,15.73,17.26,15.12,16.79
2016-11-03,INDIA VIX,16.79,16.79,15.48,16.46
2016-11-04,INDIA VIX,16.46,17.42,14.6,16.84
2016-11-07,INDIA VIX,16.84,16.84,14.93,16.5
2016-11-08,INDIA VIX,16.5,17.37,15.06,16.77
2016-11-09,INDIA VIX,16.77,22.79,15.84,16.62
2016-11-10,INDIA VIX,16.62,16.62,14.23,15.45
2016-11-11,INDIA VIX,15.45,17.71,14.16,17.36
2016-11-15,INDIA VIX,17.36,20.83,16.45,20.14
2016-11-16,INDIA VIX,20.14,20.19,16.9,19.5
2016-11-17,INDIA VIX,19.5,19.5,17.43,18.71
2016-11-18,INDIA VIX,18.71,18.71,15.85,17.8
2016-11-21,INDIA VIX,17.8,19.76,15.71,19.09
2016-11-22,INDIA VIX,19.09,20.13,17.94,18.46
2016-11-23,INDIA VIX,18.46,23.09,16.34,18.04
2016-11-24,INDIA VIX,18.04,18.58,16.64,17.16
